,value,geometry,lon,lat
263,33.0,POINT (657669.6030610622 5593286.339947711),657669.603,5593286.34
264,33.0,POINT (655932.5149929926 5593291.777266004),655932.515,5593291.777
265,33.0,POINT (659581.0553780071 5593240.971800492),659581.055,5593240.972
266,35.0,POINT (646456.3180614247 5593188.427752763),646456.318,5593188.428
267,28.0,POINT (641136.8071577804 5593135.420208098),641136.807,5593135.42
268,31.0,POINT (658179.6409870193 5593151.367456731),658179.641,5593151.367
269,37.0,POINT (658517.4250341464 5593142.849469932),658517.425,5593142.849
270,35.0,POINT (656399.941674061 5593132.706566388),656399.942,5593132.707
271,31.0,POINT (657733.7498621722 5593106.267627565),657733.75,5593106.268
272,38.0,POINT (645556.6491452473 5593158.128134462),645556.649,5593158.128
273,33.0,POINT (653994.0894620264 5593210.740837169),653994.089,5593210.741
274,23.0,POINT (656596.0254818902 5593087.932918811),656596.025,5593087.933
275,28.0,POINT (658286.5206369353 5593069.302068911),658286.521,5593069.302
276,33.0,POINT (648486.652652701 5593034.207254732),648486.653,5593034.207
277,26.0,POINT (653010.8226061157 5593037.107308984),653010.823,5593037.107
278,37.0,POINT (655212.1929132395 5593133.417785017),655212.193,5593133.418
279,33.0,POINT (657337.0790786729 5593054.492171263),657337.079,5593054.492
280,37.0,POINT (661389.6014206207 5593082.960299225),661389.601,5593082.96
281,39.0,POINT (660914.2432829905 5593059.324605044),660914.243,5593059.325
282,35.0,POINT (657125.3898643818 5593009.255811291),657125.39,5593009.256
283,39.0,POINT (654756.2767244136 5592949.223850189),654756.277,5592949.224
284,37.0,POINT (658770.7209829671 5593270.746848047),658770.721,5593270.747
285,31.0,POINT (637949.7558438731 5592896.385530597),637949.756,5592896.386
286,39.0,POINT (646589.2088804124 5592861.784489629),646589.209,5592861.784
287,40.0,POINT (654156.4646641954 5592829.975175571),654156.465,5592829.975
288,40.0,POINT (642407.4822250146 5592830.620298632),642407.482,5592830.62
289,37.0,POINT (658387.6646272282 5592857.893263441),658387.665,5592857.893
290,40.0,POINT (659543.4460082322 5592854.545030008),659543.446,5592854.545
291,40.0,POINT (655938.7865335454 5592829.325452626),655938.787,5592829.325
292,39.0,POINT (654543.6978200658 5592794.808327779),654543.698,5592794.808
293,39.0,POINT (650414.0912890908 5592746.922545155),650414.091,5592746.923
294,37.0,POINT (655919.525812709 5592618.781555382),655919.526,5592618.782
295,40.0,POINT (655258.0325619311 5592675.138611635),655258.033,5592675.139
296,35.0,POINT (659929.7581182723 5592882.6668937),659929.758,5592882.667
297,39.0,POINT (645311.3841328525 5592648.297663563),645311.384,5592648.298
298,40.0,POINT (644896.7098898683 5592645.914891092),644896.71,5592645.915
299,30.0,POINT (652978.827016857 5592611.188352535),652978.827,5592611.188
300,38.0,POINT (653501.3410322346 5592645.743335105),653501.341,5592645.743
301,35.0,POINT (637957.5977032483 5592596.218863144),637957.598,5592596.219
302,40.0,POINT (655641.7587699543 5592597.770552571),655641.759,5592597.771
303,40.0,POINT (658017.6199347457 5592562.231405756),658017.62,5592562.231
304,28.0,POINT (651957.1522580221 5592518.600136067),651957.152,5592518.6
305,37.0,POINT (655340.5662925877 5592445.210423098),655340.566,5592445.21
306,31.0,POINT (652613.0458883299 5592495.946602628),652613.046,5592495.947
307,31.0,POINT (659156.0438668131 5592756.096488618),659156.044,5592756.096
308,32.0,POINT (647976.8346557845 5592344.732632579),647976.835,5592344.733
309,35.0,POINT (652805.9639762001 5592350.987465454),652805.964,5592350.987
310,39.0,POINT (649950.480508125 5592309.511528048),649950.481,5592309.512
311,33.0,POINT (656830.9256091658 5592367.703922735),656830.926,5592367.704
312,37.0,POINT (658889.9940668682 5592312.231111249),658889.994,5592312.231
313,35.0,POINT (647564.3594544224 5592208.176414256),647564.359,5592208.176
314,39.0,POINT (654641.5874772631 5592380.979638346),654641.587,5592380.98
315,28.0,POINT (655640.0742718744 5592199.358779997),655640.074,5592199.359
316,39.0,POINT (657953.4817714301 5592210.584913227),657953.482,5592210.585
317,26.0,POINT (658931.6436720509 5592221.159161746),658931.644,5592221.159
318,14.0,POINT (657939.8185734751 5592133.984767139),657939.819,5592133.985
319,38.0,POINT (647148.5029731647 5592138.18859755),647148.503,5592138.189
320,35.0,POINT (639088.8476282677 5592149.584285691),639088.848,5592149.584
321,31.0,POINT (657021.7127781234 5592325.008295991),657021.713,5592325.008
322,31.0,POINT (637978.4585696112 5592028.932046239),637978.459,5592028.932
323,33.0,POINT (638345.2444921073 5592053.078187222),638345.244,5592053.078
324,29.0,POINT (655766.6744245157 5592001.716435393),655766.674,5592001.716
325,13.0,POINT (652585.5333529165 5591965.389927151),652585.533,5591965.39
326,37.0,POINT (659053.3587659615 5592138.381821629),659053.359,5592138.382
327,37.0,POINT (659376.5177104458 5592190.233447921),659376.518,5592190.233
328,22.0,POINT (659881.3232123848 5591991.120765768),659881.323,5591991.121
329,33.0,POINT (656700.1966863034 5591891.836211704),656700.197,5591891.836
330,40.0,POINT (640051.6547313692 5591868.44045311),640051.655,5591868.44
331,40.0,POINT (644727.9144562813 5591842.890826327),644727.914,5591842.891
332,31.0,POINT (653851.7288886433 5591898.124717572),653851.729,5591898.125
333,31.0,POINT (654011.4334806891 5591764.619508894),654011.433,5591764.62
